Gas,P_D_bar,Material,V_D_m3,W_g_kg,W_m_kg,W_d_kg,DeltaV_m_s,Costo_€
H2,13.0,Al7075T6,5.066943521594684,5.357176381797913,61.698482281284605,67.05565866308251,160.63693290544845,402.33395197849507
H2,13.0,Acero,5.066943521594684,5.357176381797913,149.85485465116278,155.21203103296068,152.36918771543532,698.454139648323
H2,13.0,Titanio6AL4V,5.066943521594684,5.357176381797913,44.52171264119601,49.878889022993924,162.35346180768514,1496.3666706898177
H2,13.15151515151515,Al7075T6,3.5361448745872277,3.7822686144322724,43.560304246001095,47.342572860433364,162.6100385788462,284.0554371626002
H2,13.15151515151515,Acero,3.5361448745872277,3.7822686144322724,105.80038308859696,109.58265170302923,156.539335060001,493.1219326636315
H2,13.15151515151515,Titanio6AL4V,3.5361448745872277,3.7822686144322724,31.43317755146491,35.215446165897184,163.84813252506825,1056.4633849769154
H2,13.303030303030303,Al7075T6,2.715693627583231,2.938176516377833,33.838914162125235,36.777090678503065,163.68764262329313,220.66254407101837
H2,13.303030303030303,Acero,2.715693627583231,2.938176516377833,82.18882176388068,85.12699828025852,158.8697741571703,383.0714922611633
H2,13.303030303030303,Titanio6AL4V,2.715693627583231,2.938176516377833,24.418208628662395,27.35638514504023,164.6606097504829,820.6915543512068
H2,13.454545454545453,Al7075T6,2.204263565891474,2.412009878984199,27.77906459948322,30.19107447846742,164.3666290715736,181.14644687080454
H2,13.454545454545453,Acero,2.204263565891474,2.412009878984199,67.47050387596903,69.88251375495322,160.35791013896912,314.4713118972895
H2,13.454545454545453,Titanio6AL4V,2.204263565891474,2.412009878984199,20.045412558139546,22.457422437123746,165.1711606006145,673.7226731137124
H2,13.606060606060606,Al7075T6,1.8549349500608128,2.0526155513825253,23.639928051941688,25.692543603324214,164.83365436560675,154.1552616199453
H2,13.606060606060606,Acero,1.8549349500608128,2.0526155513825253,57.41726297313239,59.46987852451491,161.39050562096986,267.6144533603171
H2,13.606060606060606,Titanio6AL4V,1.8549349500608128,2.0526155513825253,17.058605733424255,19.11122128480678,165.52171322230961,573.3366385442034
H2,13.757575757575756,Al7075T6,1.6011818789170627,1.791550725176658,20.633250204137912,22.42480092931457,165.174570903845,134.54880557588743
H2,13.757575757575756,Acero,1.6011818789170627,1.791550725176658,50.114566776954184,51.90611750213084,162.14896669914262,233.57752875958877
H2,13.757575757575756,Titanio6AL4V,1.6011818789170627,1.791550725176658,14.888982718480587,16.680533443657247,165.7772903125648,500.4160033097174
H2,13.909090909090908,Al7075T6,1.4085005457140467,1.593317385422263,18.35020120057091,19.943518585993175,165.43438159849043,119.66111151595905
H2,13.909090909090908,Acero,1.4085005457140467,1.593317385422263,44.569438859037895,46.162756244460155,162.72966692230133,207.7324031000707
H2,13.909090909090908,Titanio6AL4V,1.4085005457140467,1.593317385422263,13.241531307614817,14.834848693037081,165.97188472301343,445.0454607911124
H2,14.060606060606059,Al7075T6,1.2572115504708625,1.4376690810608639,16.557603110766962,17.995272191827826,165.6389528381481,107.97163315096697
H2,14.060606060606059,Acero,1.2572115504708625,1.4376690810608639,40.2155306871831,41.65319976824396,163.18854406101025,187.4393989570978
H2,14.060606060606059,Titanio6AL4V,1.2572115504708625,1.4376690810608639,11.947989974271234,13.385659055332098,166.12499644185047,401.56977165996295
H2,14.212121212121211,Al7075T6,1.1352705659441056,1.3122144341895519,15.11274470860684,16.424959142796393,165.804208811479,98.54975485677835
H2,14.212121212121211,Acero,1.1352705659441056,1.3122144341895519,36.7062215787337,38.018436012923246,163.560294019893,171.0829620581546
H2,14.212121212121211,Titanio6AL4V,1.1352705659441056,1.3122144341895519,10.905378094534553,12.217592528724104,166.2486124268346,366.5277758617231
H2,14.363636363636362,Al7075T6,1.0348929739066075,1.2089445170921236,13.923387350153199,15.132331867245323,165.94048955765777,90.79399120347193
H2,14.363636363636362,Acero,1.0348929739066075,1.2089445170921236,33.81747995188455,35.02642446897667,163.86757961185097,157.618910110395
H2,14.363636363636362,Titanio6AL4V,1.0348929739066075,1.2089445170921236,10.04713613163902,11.256080648731142,166.35050701800256,337.6824194619343
H2,14.515151515151516,Al7075T6,0.9508236827687827,1.1224528156075986,12.927264331009637,14.049717146617235,166.0548014224506,84.29830287970341
H2,14.515151515151516,Acero,0.9508236827687827,1.1224528156075986,31.398070839551874,32.52052365515947,164.12583093191256,146.34235644821763
H2,14.515151515151516,Titanio6AL4V,0.9508236827687827,1.1224528156075986,9.328332343056312,10.45078515866391,166.43594304921749,313.5235547599173
H2,14.666666666666668,Al7075T6,0.8793868921775895,1.0489576132191716,12.080821705426352,13.129779318645523,166.152060351421,78.77867591187314
H2,14.666666666666668,Acero,0.8793868921775895,1.0489576132191716,29.342209302325575,30.391166915544748,164.3459175115625,136.76025111995136
H2,14.666666666666668,Titanio6AL4V,0.8793868921775895,1.0489576132191716,8.717538139534879,9.76649575275405,166.5086102409285,292.9948725826215
H2,14.818181818181818,Al7075T6,0.8179342791672759,0.9857342769926494,11.352679935969315,12.338414212961965,166.2358173854367,74.03048527777179
H2,14.818181818181818,Acero,0.8179342791672759,0.9857342769926494,27.57367991565501,28.559414192647658,164.5357173023015,128.51736386691445
H2,14.818181818181818,Titanio6AL4V,0.8179342791672759,0.9857342769926494,8.192110002193942,9.177844279186592,166.57117210538945,275.3353283755978
H2,14.96969696969697,Al7075T6,0.7645094405541293,0.9307700310635174,10.71965792738191,11.650427958445427,166.30870161863297,69.90256775067256
H2,14.96969696969697,Acero,0.7645094405541293,0.9307700310635174,26.036179841416917,26.966949872480434,164.70107962037514,121.35127442616195
H2,14.96969696969697,Titanio6AL4V,0.7645094405541293,0.9307700310635174,7.7353204196983265,8.666090450761844,166.625599521974,259.9827135228553
H2,15.121212121212121,Al7075T6,0.7176357777365862,0.8825457294543279,10.16425970893398,11.046805438388308,166.37270116482725,66.28083263032985
H2,15.121212121212121,Acero,0.7176357777365862,0.8825457294543279,24.687214417606544,25.569760147060872,164.8464386392039,115.06392066177392
H2,15.121212121212121,Titanio6AL4V,0.7176357777365862,0.8825457294543279,7.334544274663853,8.21709000411818,166.67338213832292,246.51270012354541
H2,15.272727272727273,Al7075T6,0.676177904961509,0.83989327089646,9.673032284067551,10.512925554964012,166.42934727629466,63.07755332978407
H2,15.272727272727273,Acero,0.676177904961509,0.83989327089646,23.494108661480794,24.334001932377255,164.97521694339972,109.50300869569764
H2,15.272727272727273,Titanio6AL4V,0.676177904961509,0.83989327089646,6.980073865624119,7.819967136520579,166.71566679886888,234.59901409561738
H2,15.424242424242424,Al7075T6,0.6392484726861671,0.8018997373585669,9.235461595942406,10.037361333300973,166.4798384456846,60.22416799980584
H2,15.424242424242424,Acero,0.6392484726861671,0.8018997373585669,22.431325762386802,23.23322549974537,165.09009843696134,104.54951474885416
H2,15.424242424242424,Titanio6AL4V,0.6392484726861671,0.8018997373585669,6.664322234196589,7.466221971555155,166.75335078932028,223.98665914665466
H2,15.575757575757576,Al7075T6,0.6061439427697422,0.7678413186355773,8.843211538384338,9.611052857019915,166.52512613917364,57.666317142119496
H2,15.575757575757576,Acero,0.6061439427697422,0.7678413186355773,21.478618772054485,22.246460090690064,165.19321742372514,100.10907040810528
H2,15.575757575757576,Titanio6AL4V,0.6061439427697422,0.7678413186355773,6.381274034299616,7.149115352935193,166.7871462157966,214.4734605880558
H2,15.727272727272727,Al7075T6,0.5762993370203704,0.7371367570000312,8.489587778960988,9.22672453596102,166.56597532226462,55.360347215766126
H2,15.727272727272727,Acero,0.5762993370203704,0.7371367570000312,20.619728324344752,21.356865081344782,165.28629243747835,96.10589286605152
H2,15.727272727272727,Titanio6AL4V,0.5762993370203704,0.7371367570000312,6.126098626120711,6.863235383120742,166.81762543216104,205.89706149362226
H2,15.878787878787879,Al7075T6,0.5492557266486965,0.7093138998821337,8.16915254693542,8.878466446817553,166.6030080210607,53.270798680905315
H2,15.878787878787879,Acero,0.5492557266486965,0.7093138998821337,19.84144702236094,20.55076092224307,165.3707227822398,92.47842415009382
H2,15.878787878787879,Titanio6AL4V,0.5492557266486965,0.7093138998821337,5.894872106555498,6.604186006437632,166.84525371996995,198.12558019312897
H2,16.03030303030303,Al7075T6,0.5246364650328876,0.6839852477949757,7.877443019259971,8.561428267054946,166.63673521882603,51.36856960232968
H2,16.03030303030303,Acero,0.5246364650328876,0.6839852477949757,19.132935447134983,19.81692069492996,165.44765936673727,89.17614312718482
H2,16.03030303030303,Titanio6AL4V,0.5246364650328876,0.6839852477949757,5.684374096140016,6.3683593439349915,166.8704132078101,191.05078031804973
H2,16.18181818181818,Al7075T6,0.5021295381760499,0.6608297962300963,7.610762194087776,8.271591990317873,166.66758057629175,49.62955194190724
H2,16.18181818181818,Acero,0.5021295381760499,0.6608297962300963,18.485214225853763,19.14604402208386,165.51805747923376,86.15719809937737
H2,16.18181818181818,Titanio6AL4V,0.5021295381760499,0.6608297962300963,5.491936833078927,6.152766629309023,166.89342065273527,184.5829988792707
H2,16.333333333333336,Al7075T6,0.4814742712827526,0.6395793591913275,7.366021379213579,8.005600738404906,166.695898320699,48.033604430429435
H2,16.333333333333336,Acero,0.4814742712827526,0.6395793591913275,17.890781463748283,18.53036082293961,165.5827166555517,83.38662370322824
H2,16.333333333333336,Titanio6AL4V,0.4814742712827526,0.6395793591913275,5.3153315126802045,5.954910871871532,166.91454084598817,178.64732615614597
H2,16.484848484848488,Al7075T6,0.46245118668051033,0.6200081348778668,7.140620020275711,7.760628155153578,166.7219869101982,46.56376893092147
H2,16.484848484848488,Acero,0.46245118668051033,0.6200081348778668,17.34332086775151,17.963329002629376,165.64231117869755,80.83498051183219
H2,16.484848484848488,Titanio6AL4V,0.46245118668051033,0.6200081348778668,5.152681571214612,5.7726897060924784,166.93399684975958,173.18069118277435
H2,16.636363636363637,Al7075T6,0.4448741746440029,0.6019246509151063,6.932352934157141,7.534277585072247,166.74609959349644,45.205665510433484
H2,16.636363636363637,Acero,0.4448741746440029,0.6019246509151063,16.837476432605868,17.439401083520973,165.6974136816273,78.47730487584438
H2,16.636363636363637,Titanio6AL4V,0.4448741746440029,0.6019246509151063,5.002395745405848,5.604320396320954,166.95197790582557,168.12961188962862
H2,16.78787878787879,Al7075T6,0.42858438428721046,0.5851654792161876,6.739337923184567,7.3245034024007545,166.76845265773613,43.94702041440453
H2,16.78787878787879,Acero,0.42858438428721046,0.5851654792161876,16.368676628375326,16.953842107591512,165.7485136065848,76.29228948416181
H2,16.78787878787879,Titanio6AL4V,0.42858438428721046,0.5851654792161876,4.863115838733575,5.448281317949762,166.96864561122086,163.44843953849286
